Tool,Bench,Class,Time_mean,Time_std,Mops_mean,Mops_std,Time_slowdown_mean,Time_slowdown_std,Variant
prism_sr_dynamic,sp,S,0.8533333333333334,0.025166114784235843,113.86333333333334,3.279486748461303,30.972222222222225,11.72969088033219,sr
prism_sr_static,bt,A,927.02,3.476478102908144,181.53666666666666,0.6825198409814546,19.248918883204894,0.05933348568152587,sr
prism_sr_static,bt,S,1.2966666666666666,0.02516611478423581,176.20333333333335,3.6137837972592353,18.134920634920636,3.271911426670321,sr
prism_sr_static,cg,A,1.22,0.0519615242270663,1229.8766666666668,49.4109394095411,1.0174084791695375,0.06054027753468039,sr
prism_sr_static,cg,S,0.04,0.0,1610.0566666666666,171.4847938836949,1.0,0.0,sr
prism_sr_static,ep,A,148.45666666666668,1.2862477729167572,3.6166666666666667,0.03214550253664324,8.914519922233232,0.0743352828589007,sr
prism_sr_static,ep,S,9.346666666666666,0.020816659994660813,3.59,0.01000000000000012,8.9015873015873,0.019825390471105528,sr
prism_sr_static,ft,A,313.1566666666667,0.905888146149031,22.786666666666665,0.06658328118479334,81.1536075917477,1.8497247927119038,sr
prism_sr_static,ft,S,7.763333333333333,0.023094010767584668,22.823333333333334,0.07234178138070502,86.25925925925925,0.25660011963983786,sr
prism_sr_static,lu,A,1681.3933333333334,6.628313008098906,70.95333333333333,0.28148416178061597,47.07320757148173,0.7340384888990602,sr
prism_sr_static,lu,S,1.4566666666666668,0.02309401076758507,70.08999999999999,1.1435471131527521,44.47222222222222,6.72078726649501,sr
prism_sr_static,mg,A,80.13,0.7709085548883198,48.57666666666666,0.4650089604871439,81.50185705855809,1.752828276410482,sr
prism_sr_static,mg,S,0.17666666666666667,0.011547005383792499,42.91,2.2518214849316993,29.444444444444446,1.9245008972987507,sr
prism_sr_static,sp,A,819.1733333333333,4.610947118904443,103.77666666666666,0.5824374072235854,33.29125083376927,0.22551209646718232,sr
prism_sr_static,sp,S,0.9199999999999999,0.017320508075688707,105.12666666666667,2.048837068517984,33.19444444444444,11.48862158511307,sr
prism_ud_dynamic,bt,A,714.8166666666666,7.054518646465728,235.44000000000003,2.313892823792832,14.842580340370555,0.12861360366608712,ud
prism_ud_dynamic,bt,S,1.0333333333333334,0.005773502691896247,220.9333333333333,1.2395698178534895,14.47883597883598,2.812955635759504,ud
prism_ud_dynamic,cg,A,1.2566666666666666,0.005773502691896247,1190.9966666666667,6.916446582843884,1.047626767394294,0.027532289529491397,ud
prism_ud_dynamic,cg,S,0.043333333333333335,0.005773502691896259,1655.8166666666668,195.7573039080109,1.0833333333333333,0.14433756729740646,ud
prism_ud_dynamic,ep,A,79.11333333333333,1.4788621752324764,6.786666666666666,0.12701705922171816,4.750582468783288,0.08712586934584902,ud
prism_ud_dynamic,ep,S,4.966666666666666,0.040414518843273836,6.756666666666667,0.05131601439446858,4.73015873015873,0.03849001794597504,ud
prism_ud_dynamic,ft,A,119.28333333333335,0.3153305144341955,59.82666666666666,0.1582192571507488,30.910630985229833,0.6145469244695164,ud
prism_ud_dynamic,ft,S,2.953333333333333,0.011547005383792526,59.98333333333333,0.17039170558842634,32.81481481481482,0.1283000598199205,ud
prism_ud_dynamic,lu,A,1882.5333333333335,5.397354290143782,63.370000000000005,0.18083141320024843,52.70456611969035,0.8211093949363572,ud
prism_ud_dynamic,lu,S,1.6233333333333333,0.03214550253664316,63.083333333333336,1.1287308507050444,49.63888888888889,8.19227843312994,ud
prism_ud_dynamic,mg,A,33.833333333333336,0.1342882471898881,115.03333333333335,0.46144699948458523,34.41063556527474,0.5038380270335947,ud
prism_ud_dynamic,mg,S,0.07,0.0,102.70333333333333,1.2171414598695307,11.666666666666666,0.0,ud
prism_ud_dynamic,sp,A,480.71999999999997,2.6518672666632157,176.84333333333333,0.974388697252449,19.53630973546996,0.08127354041382709,ud
prism_ud_dynamic,sp,S,0.5766666666666667,0.0057735026918962545,168.03333333333333,1.4758500375489807,20.86111111111111,7.492743403033612,ud
prism_ud_static,bt,A,505.33,1.7714683175264263,333.0233333333333,1.1679611865697066,10.492825392879077,0.03077091608909961,ud
prism_ud_static,bt,S,0.7466666666666666,0.06350852961085883,308.06333333333333,26.036763111672172,10.362433862433862,1.3743303491610668,ud
prism_ud_static,cg,A,1.25,0.02645751311064595,1198.2266666666667,24.198812643047955,1.041842339802119,0.022772308166204246,ud
prism_ud_static,cg,S,0.04,0.0,1543.9133333333332,42.96460209676493,1.0,0.0,ud
prism_ud_static,ep,A,70.13666666666667,0.9383140909809072,7.653333333333333,0.10214368964029684,4.2115815639308325,0.05745049322861247,ud
prism_ud_static,ep,S,4.303333333333334,0.05773502691896327,7.8,0.10440306508910562,4.098412698412698,0.05498573992282149,ud
prism_ud_static,ft,A,121.86666666666667,0.21501937897159107,58.55666666666667,0.10503967504392266,31.580820059365465,0.6785548802957828,ud
prism_ud_static,ft,S,3.046666666666667,0.01527525231651959,58.14333333333334,0.2318045153428495,33.85185185185185,0.16972502573910828,ud
prism_ud_static,lu,A,1426.5900000000001,20.203754601558682,83.63666666666667,1.1815385450053362,39.93963175307017,0.8241701304952976,ud
prism_ud_static,lu,S,1.1966666666666665,0.02081665999466145,85.45666666666666,1.5301089285842793,36.583333333333336,5.955273106900959,ud
prism_ud_static,mg,A,40.74333333333333,0.4521430452117274,95.53666666666668,1.0557146078999473,41.436391405463574,0.5304732991547242,ud
prism_ud_static,mg,S,0.09000000000000001,0.0,87.45333333333333,1.5798839619837075,15.0,0.0,ud
prism_ud_static,sp,A,422.60666666666674,0.717100643796502,201.15666666666667,0.3407834111768375,17.174974431385994,0.12736810585292485,ud
prism_ud_static,sp,S,0.49666666666666665,0.037859388972001855,195.46,14.647194270576193,17.666666666666668,5.20416499866533,ud
sr,bt,A,6922.31,49.42387176253983,24.313333333333333,0.17473789896108133,143.73640011634464,0.8602542133028441,
sr,bt,S,10.26,0.04358898943540601,22.253333333333334,0.09291573243177473,143.93386243386243,29.137965938632366,
sr,cg,A,47.653333333333336,0.28867513459481237,31.400000000000002,0.19052558883257784,39.727280797946854,1.100749003952672,
sr,cg,S,2.1333333333333333,0.056862407030773415,31.209999999999997,0.8239538822045823,53.333333333333336,1.4215601757693348,
sr,ep,A,100.67,1.4362799170078282,5.333333333333333,0.07571877794400368,6.044974612711731,0.07922960002131506,
sr,ep,S,6.3,0.12529964086141665,5.326666666666667,0.11015141094572237,6.0,0.11933299129658706,
sr,ft,A,251.5533333333333,0.5389186704256292,28.37,0.062449979983984355,65.18500847726064,1.167854742819348,
sr,ft,S,6.266666666666666,0.005773502691896071,28.263333333333332,0.02516611478423465,69.62962962962963,0.06415002990996024,
sr,lu,A,5373.913333333334,47.25909154155821,22.2,0.19287301521986083,150.45726532942547,3.113438950644083,
sr,lu,S,4.61,0.055677643628300286,22.2,0.2749545416973496,140.7222222222222,21.009477579134316,
sr,mg,A,140.51333333333335,0.18717193521822903,27.7,0.03605551275463777,142.90666111284668,1.5007072400425903,
sr,mg,S,0.33,0.010000000000000009,23.046666666666667,0.7600219295081787,55.0,1.666666666666667,
sr,sp,A,2580.16,18.1178171974439,32.946666666666665,0.228983259941274,104.86131516983296,1.3407277757413385,
sr,sp,S,2.98,0.02000000000000013,32.44,0.22912878474779236,107.44444444444446,37.16978063686403,
verificarlo,bt,A,2616.943333333333,13.785827263292017,64.30666666666667,0.34151622704248097,54.34052367051505,0.5647677236903225,
verificarlo,bt,S,3.643333333333333,0.032145502536643195,62.71,0.5381449618829488,51.097883597883595,10.218882962096657,
verificarlo,cg,A,1.0,0.0,1497.4833333333333,5.417908575579108,0.8336006305512421,0.018185632272410098,
verificarlo,cg,S,0.04666666666666667,0.005773502691896258,1488.0366666666666,204.01051476169883,1.1666666666666667,0.14433756729740643,
verificarlo,ep,A,211.0233333333333,1.1275785264598523,2.5466666666666664,0.01527525231651942,12.671599795118155,0.0819748611486034,
verificarlo,ep,S,13.133333333333333,0.02516611478423559,2.5566666666666666,0.005773502691896391,12.507936507936506,0.023967728365940154,
verificarlo,ft,A,394.98,1.865502613238578,18.066666666666666,0.08386497083606222,102.34765025850992,1.574845685645196,
verificarlo,ft,S,9.743333333333334,0.020816659994660813,18.186666666666667,0.03785938897200165,108.25925925925928,0.23129622216289655,
verificarlo,lu,A,5119.486666666667,43.618533140550795,23.30333333333333,0.19857828011475423,143.33143178894724,2.7602932659005677,
verificarlo,lu,S,4.463333333333334,0.015275252316519772,22.933333333333334,0.07637626158259647,136.38888888888889,21.56020854705707,
verificarlo,mg,A,193.16,1.1017713011328634,20.150000000000002,0.11269427669584925,196.44326425769725,1.1981952697335168,
verificarlo,mg,S,0.48333333333333334,0.011547005383792521,15.75,0.40632499307820036,80.55555555555554,1.9245008972987498,
verificarlo,sp,A,1904.7966666666669,7.959725707166809,44.626666666666665,0.1858314648635554,77.41029948959569,0.13301296097615578,
verificarlo,sp,S,2.17,0.017320508075688724,44.54333333333333,0.28360771028540943,78.5,28.315190269535538,
verrou_cestac,bt,A,2931.35,0.41509035161018953,57.41,0.010000000000000675,60.868100291759994,0.32720440142568763,cestac
verrou_cestac,bt,S,4.11,0.009999999999999898,55.526666666666664,0.1913983629327362,57.63492063492063,11.52856388872251,cestac
verrou_cestac,cg,A,17.99,0.009999999999999343,83.18666666666667,0.06027713773341884,14.996360511960056,0.31933967150055087,cestac
verrou_cestac,cg,S,0.8433333333333333,0.0057735026918962545,79.15333333333334,0.5251983752196193,21.083333333333332,0.14433756729740618,cestac
verrou_cestac,ep,A,191.78666666666666,1.3315529780423059,2.8000000000000003,0.017320508075688724,11.516360987348802,0.06627229795800543,cestac
verrou_cestac,ep,S,11.893333333333333,0.011547005383792141,2.82,0.0,11.326984126984128,0.01099714798456426,cestac
verrou_cestac,ft,A,132.61333333333334,0.0635085296108708,53.81333333333333,0.02309401076758864,34.36496217514198,0.6804715996991744,cestac
verrou_cestac,ft,S,3.3033333333333332,0.04041451884327397,53.60333333333333,0.6357934675138889,36.7037037037037,0.4490502093697094,cestac
verrou_cestac,lu,A,2436.773333333333,1.441538529951147,48.95666666666667,0.028867513459486828,68.21991946187138,0.8872613835099752,cestac
verrou_cestac,lu,S,2.1199999999999997,0.04358898943540689,48.20333333333334,1.0427048160113812,64.91666666666667,11.403885789988916,cestac
verrou_cestac,mg,A,70.93333333333334,0.5057996968497828,54.876666666666665,0.39310727967481235,72.14446874240689,1.2123023970262734,cestac
verrou_cestac,mg,S,0.16333333333333333,0.005773502691896261,46.663333333333334,1.9442307819117919,27.222222222222225,0.9622504486493754,cestac
verrou_cestac,sp,A,1252.4233333333334,5.646594844092529,67.87666666666667,0.30664855018951315,50.899457352501194,0.4772786725823908,cestac
verrou_cestac,sp,S,1.4066666666666665,0.005773502691896247,68.75,0.2783882181414993,50.833333333333336,18.05777764104247,cestac
verrou_sr,bt,A,3469.8766666666666,0.9818519915615473,48.5,0.009999999999996234,72.05045071550714,0.41422301174552517,sr
verrou_sr,bt,S,4.756666666666667,0.02516611478423568,48.03,0.2306512518934167,66.64814814814815,12.91428691737806,sr
verrou_sr,cg,A,22.8,0.02645751311064484,65.64,0.06928203230275874,19.006347778190786,0.43218836781291775,sr
verrou_sr,cg,S,1.0533333333333335,0.011547005383792509,63.19,0.7448489779814409,26.333333333333332,0.28867513459481314,sr
