,tool,mode,iterations,mean,std
0,cadna,dbg,869749,14.256844899999999,0.008231956032843648
0,sr,perf,8902150,16.578048706054688,0.0017366434614347068
0,verrou_sr,dbg,100,5.187379360198975,1.1680077279964342e-06
0,verrou_sr,perf,5590810,16.114033381144207,0.000529763197602493
0,prism_ud,perf,403,6.5774000485738116,6.633960963792549e-06
0,baseline_double,perf,3274,8.671135902404785,0.0
0,prism_sr,dbg,170735,12.625098864237467,0.00016017628200562918
0,baseline_double,dbg,29836,10.88070297241211,0.0
0,baseline_double,dbg,2477076,15.299805641174316,0.0
0,baseline_double,perf,385352,13.439129829406738,0.0
0,baseline_double,perf,26560,10.764395713806152,0.0
0,baseline_float,perf,1629,7.973245620727539,0.0
0,verrou_cestac,perf,3274,8.671141942342123,1.6779128037003386e-05
0,sr,dbg,1232846,14.601465225219727,0.0007073705267365928
0,cadna,dbg,95454,12.043761333333334,0.000899046347834941
0,prism_sr,perf,1023,7.508197784423828,3.0902579776801397e-06
0,cadna,perf,3944206,15.876606033333333,0.03734374373415499
0,verificarlo,dbg,911,7.392310619354248,3.4604932557864573e-06
0,prism_sr,dbg,112,5.30017105738322,1.251539846104274e-06
0,cadna,dbg,1097498,14.534743366666666,0.010385201351389324
0,baseline_double,perf,67341,11.694747924804688,0.0
0,baseline_double,dbg,7054802,16.346435546875,0.0
0,verrou_cestac,perf,1384886,14.677867889404297,0.0004208640142486436
0,prism_sr,dbg,5857,9.252677917480469,2.1024139103935816e-05
0,prism_ud,perf,3511191,15.402506510416666,0.0019496247991124612
0,sr,perf,16681,10.299270947774252,2.394125669322043e-05
0,cadna,perf,26560,10.7642594,0.0002478526309458888
0,verrou_sr,dbg,1963040,15.067524592081705,0.00038685677144968043
0,prism_ud,dbg,5857,9.252684911092123,9.506282904873776e-05
0,verrou_sr,dbg,42292,11.229576428731283,9.188437441475688e-05
0,prism_ud,perf,37649,11.113364537556967,0.00016386617614711602
0,prism_ud,perf,385352,13.439070701599121,0.00038346800350544006
0,verrou_cestac,dbg,18738,10.415633837381998,4.062050589234235e-05
0,verrou_cestac,perf,75646,11.811293601989746,0.00010405398243078503
0,baseline_float,dbg,9326,9.717843055725098,0.0
0,verificarlo,dbg,5214,9.136424700419107,2.031025294617117e-05
0,cadna,perf,2205130,15.056852066666666,0.020877531509469412
0,prism_ud,dbg,774263,14.142255147298178,0.0003518531240663705
0,verrou_cestac,perf,343046,13.328900655110678,0.00011894153618947014
0,sr,dbg,29836,10.880688349405924,3.4264509408745176e-05
0,verrou_sr,dbg,2915,8.554987271626791,1.741743409703919e-05
0,prism_ud,dbg,6280291,15.404043833414713,0.0023862908712807647
0,verificarlo,dbg,3125715,15.533121109008789,0.0009344765846552109
0,verificarlo,perf,2915,8.555007934570312,1.557343637328579e-06
0,baseline_double,dbg,75646,11.811041831970215,0.0
0,verificarlo,perf,112,5.300172011057536,3.596531072929624e-06
0,prism_sr,perf,100,5.187378724416097,8.104673248279548e-07
0,prism_ud,perf,18738,10.415571212768555,5.864903206452102e-05
0,prism_ud,perf,53366,11.462241172790527,6.678898372707599e-05
0,baseline_double,dbg,170735,12.625086784362793,0.0
0,verrou_sr,perf,486260,13.671703974405924,0.00019840755560681349
0,verrou_sr,dbg,453,6.694212436676025,7.786718186642895e-07
0,prism_sr,perf,2595,8.438748041788736,1.1714633797129491e-05
0,verrou_cestac,perf,95454,12.044297536214193,6.749038136218043e-05
0,cadna,perf,1450,7.856889250000001,1.1816042766668655e-05
0,cadna,perf,23644,10.647989033333333,0.00021804857766580507
0,sr,perf,1023,7.50819714864095,4.612165491913766e-06
0,verificarlo,dbg,3944206,15.765752474466959,0.00020637790335682732
0,prism_sr,perf,42292,11.229618708292643,6.39096209556539e-05
0,cadna,dbg,1830,8.089572273333333,1.0162012049491185e-05
0,sr,perf,112,5.300172328948975,1.0300859925600466e-06
0,baseline_double,dbg,215443,12.857669830322266,0.0
0,prism_sr,dbg,613590,13.904117266337076,0.00016467819769962785
0,baseline_double,perf,200,5.878030776977539,0.0
0,verrou_sr,dbg,84975,11.927324612935385,5.813677340308738e-05
0,prism_sr,dbg,1291,7.740774949391683,5.673271273795683e-06
0,baseline_double,perf,7054802,16.346435546875,0.0
0,verificarlo,dbg,2782559,15.415635108947754,0.0004869053000857013
0,prism_ud,dbg,141,5.529512087504069,5.006159384417096e-06
0,verrou_cestac,dbg,5590810,17.364511489868164,0.002676553188478693
0,verrou_sr,dbg,23644,10.648075103759766,4.905632457585024e-05
0,prism_sr,perf,1149,7.624302387237549,2.368237880985155e-06
0,cadna,perf,10000000,21.462290499999998,0.18938785633151636
0,verrou_cestac,dbg,3944206,15.898347536722818,0.0016305901659308898
0,verificarlo,dbg,509,6.8106465339660645,5.091227651611e-06
0,prism_sr,perf,26560,10.764379819234213,8.498707373249852e-05
0,sr,dbg,14849,10.182961146036783,1.5983333702057563e-05
0,verrou_sr,dbg,21049,10.531874020894369,1.8774443385103098e-05
0,cadna,dbg,385352,13.434056633333334,0.0036489672852587376
0,cadna,dbg,3274,8.67113972,2.6611622773724507e-05
0,verificarlo,perf,126,5.417458693186442,5.947204250930057e-07
0,prism_ud,perf,1149,7.624300320943196,6.341914286060334e-06
0,verificarlo,dbg,84975,11.927372614542643,5.569726539768891e-05
0,verrou_sr,perf,33516,10.996988614400228,4.083636936829835e-05
0,baseline_double,perf,722,7.159933090209961,0.0
0,baseline_float,perf,120450,12.276269912719727,0.0
0,baseline_double,dbg,23644,10.648101806640625,0.0
0,cadna,dbg,2477076,15.1850383,0.023455877709862
0,verrou_cestac,perf,4132,8.903836250305176,3.7819730313531124e-05
0,prism_sr,perf,11768,9.95037873586019,9.289830014675431e-06
0,prism_sr,dbg,10476,9.834078470865885,2.4553898515481975e-05
0,verrou_sr,dbg,3678,8.787484486897787,1.959614436775518e-06
0,prism_sr,dbg,319,6.343973159790039,3.8933590933214475e-07
0,baseline_float,perf,2477076,15.403682708740234,0.0
0,baseline_double,perf,95454,12.043621063232422,0.0
0,prism_sr,dbg,546227,13.788040479024252,0.0001859906716127625
0,verificarlo,perf,4430621,15.88111941019694,0.0011798718795553295
0,baseline_double,perf,1023,7.508199214935303,0.0
0,baseline_float,perf,271858,13.088359832763672,0.0
0,verrou_sr,perf,8302,9.601516405741373,3.285527592393042e-05
0,prism_sr,perf,29836,10.880719184875488,2.6047707145209623e-05
0,verrou_cestac,dbg,75646,11.81107234954834,9.190966646695525e-05
0,baseline_double,perf,343046,13.322836875915527,0.0
0,cadna,dbg,23644,10.647989033333333,0.00021804857766580507
0,verrou_cestac,perf,126,5.417464097340901,8.104673248279548e-07
0,cadna,perf,84975,11.9267245,0.0007969795522267243
0,prism_sr,dbg,16681,10.299287796020508,2.497825785390624e-05
0,verrou_cestac,perf,359,6.461930751800537,4.335461202299072e-06
0,baseline_float,perf,5214,9.136418342590332,0.0
0,verrou_cestac,dbg,53366,11.462172826131185,0.00013875733716335665
0,cadna,dbg,253,6.11258571,3.022658873722981e-06
0,baseline_float,perf,159,5.649261474609375,0.0
0,baseline_float,dbg,14849,10.182953834533691,0.0
0,verrou_cestac,dbg,84975,11.927102088928223,0.00010831098279153602
0,cadna,perf,613590,13.891808233333334,0.0058044000191425325
0,verificarlo,perf,1830,8.089567502339682,3.841096869657699e-06
0,sr,dbg,3274,8.671130180358887,2.095191580872101e-05
0,verrou_cestac,dbg,689261,14.00317096710205,0.0003556433824998839
0,verificarlo,dbg,1747528,14.951529502868652,0.0003661720268452703
0,verrou_sr,dbg,3274,8.671136220296225,1.2587858755253684e-05
0,cadna,dbg,1963040,14.942736366666665,0.01858294637014145
0,verrou_cestac,perf,42292,11.229661305745443,8.954500209818447e-05
0,verificarlo,dbg,2056,8.20597235361735,1.0162587078822949e-05
0,sr,dbg,811,7.276100794474284,2.9221814967553196e-06
0,prism_sr,dbg,271858,13.090158780415853,6.014620273787244e-05
0,baseline_double,perf,8902150,16.57901954650879,0.0
0,baseline_double,dbg,2310,8.32243537902832,0.0
0,verrou_cestac,perf,242012,12.972600936889648,0.00016762436969776454
0,prism_ud,dbg,3511191,15.404876391092936,0.0009942713252437778
0,verrou_cestac,perf,3511191,15.691816329956055,0.001364803799564774
0,prism_ud,dbg,4641,9.020013491312662,7.991666851028782e-06
0,baseline_float,dbg,21049,10.531847953796387,0.0
0,sr,perf,2056,8.205981572469076,3.1469646888134213e-06
0,baseline_float,perf,37649,11.113263130187988,0.0
0,baseline_double,perf,1097498,14.485759735107422,0.0
0,baseline_double,dbg,3678,8.7874755859375,0.0
0,sr,perf,141,5.529518127441406,2.167730601149536e-06
0,verrou_sr,perf,67341,11.694684664408365,4.5910832042582205e-05
0,prism_ud,dbg,359,6.461925665537517,5.633050647312593e-06
0,cadna,perf,911,7.392315873333334,8.157239456839255e-06
0,prism_ud,perf,5857,9.252736409505209,5.650782992610748e-05
0,sr,dbg,911,7.392313798268636,4.612165491913766e-06
0,prism_ud,perf,1963040,15.274119059244791,0.0020099390557315033
0,verrou_sr,dbg,8902150,16.579825083414715,0.0015387739912346666
0,prism_ud,perf,7054802,15.40285587310791,0.000514868146291993
0,cadna,dbg,21049,10.5317682,0.00019286539347413716
0,prism_sr,dbg,3511191,15.648425420125326,0.0006671933205034975
0,baseline_double,perf,4977023,15.99755859375,0.0
0,prism_sr,perf,1097498,14.485536575317383,0.00034642495755667286
0,sr,perf,774263,14.136883417765299,0.00020971633357577996
0,cadna,perf,432876,13.547101699999999,0.004099115227298157
0,prism_ud,dbg,1830,8.089544932047525,1.1558315889166414e-05
0,baseline_double,dbg,385352,13.439129829406738,0.0
0,baseline_double,perf,1450,7.856879234313965,0.0
0,verificarlo,perf,432876,13.555285771687826,0.00013500546630956545
0,prism_ud,dbg,14849,10.182913780212402,5.499981252783285e-05
0,verrou_sr,dbg,271858,13.090205510457357,0.000207462100266132
0,baseline_float,perf,811,7.276103973388672,0.0
0,baseline_double,dbg,95454,12.043621063232422,0.0
0,verificarlo,dbg,2477076,15.299922307332357,0.0006013012150095394
0,verificarlo,perf,95454,12.043560345967611,0.00012872680080867115
0,verrou_sr,perf,811,7.276101271311442,5.831380312552179e-06
0,prism_sr,dbg,21049,10.53186066945394,2.0488590296836874e-05
0,verrou_sr,perf,3511191,15.6489839553833,0.0008597774623224297
0,verrou_sr,dbg,2477076,15.29977035522461,0.0004938013505995405
0,sr,dbg,10000000,16.694029490152996,0.0010671842392932062
0,prism_ud,dbg,5214,9.136414210001627,8.252941758312969e-06
0,verrou_cestac,perf,1555676,14.758967399597168,0.001050402885324585
0,prism_sr,dbg,2782559,15.41606616973877,0.0007501156238654481
0,verrou_sr,dbg,1149,7.624299208323161,5.947204250930057e-07
0,prism_ud,perf,774263,14.142049471537272,0.0005564678513197
0,cadna,perf,14849,10.182878533333332,0.00013583004903998505
0,prism_sr,perf,403,6.577393849690755,1.959614436775518e-06
0,verificarlo,perf,14849,10.182955741882324,3.628978269661035e-05
0,sr,perf,151991,12.508735656738281,4.309510623052598e-05
0,verrou_cestac,dbg,120450,12.276021003723145,0.00017544151739882043
0,prism_sr,perf,151991,12.508794784545898,8.539868177329507e-05
0,verrou_sr,perf,159,5.6492617925008135,9.79807218387759e-07
0,verrou_cestac,dbg,14849,10.18298308054606,1.0798955123559969e-05
0,verrou_sr,perf,2310,8.322452545166016,1.0704967651674103e-05
0,verrou_cestac,perf,120450,12.276144663492838,0.00018223970654024325
0,cadna,dbg,100,5.187381273333333,3.328005742703619e-06
0,cadna,perf,546227,13.795812966666666,0.005168976975722662
0,baseline_double,dbg,4132,8.903853416442871,0.0
0,verrou_sr,perf,10000000,16.695072174072266,0.0009359985073093957
0,prism_ud,perf,1450,7.856879870096843,1.0050096486115288e-05
0,prism_sr,dbg,3125715,15.531670888264975,0.0006296775452706255
0,sr,perf,1232846,14.60189437866211,0.00010374468806055004
0,verrou_sr,dbg,385352,13.439042091369629,0.00013034556900378119
0,prism_ud,dbg,3274,8.671123186747232,4.3384903051666564e-05
0,verrou_sr,perf,5857,9.252689043680826,7.235086235517529e-06
0,cadna,perf,42292,11.229383833333332,0.0004029691909920518
0,verrou_cestac,dbg,4977023,16.781817118326824,0.001924439050575077
0,prism_sr,perf,385352,13.439300219217936,7.083060697829152e-05
0,prism_sr,perf,546227,13.788093249003092,0.00021296543749666267
0,prism_sr,perf,1232846,14.602585156758627,0.00013933947277631353
0,cadna,perf,1747528,14.841150966666667,0.016543898592599676
